language,country,main_group,subgroup,product-name,product-number,file-path
de,DE,control-systems,self-acting-controls,sa120,1900,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sa120-ti-1900-de.ashx?rev=f1b128000bf246b181302a9ab0f7963b
fr,FR,control-systems,self-acting-controls,sa121_sa122_sa123_sa128-sa1219,p046-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sa121_sa122_sa123_sa128-sa1219-ti-p046-01-fr.ashx?rev=6f013cff8400431ba103f7d6fa02b22c
fr,CH,control-systems,self-acting-controls,sa121_sa122_sa123_sa128-sa1219,p046-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sa121_sa122_sa123_sa128-sa1219-ti-p046-01-fr.ashx?rev=6f013cff8400431ba103f7d6fa02b22c
it,CH,control-systems,self-acting-controls,sa121_sa122_sa123_sa128_sa1219,p046-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sa121_sa122_sa123_sa128_sa1219-ti-p046-01-it.ashx?rev=27323baaa87b4ca4bd40690ff664fba0
it,IT,control-systems,self-acting-controls,sa121_sa122_sa123_sa128_sa1219,p046-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sa121_sa122_sa123_sa128_sa1219-ti-p046-01-it.ashx?rev=27323baaa87b4ca4bd40690ff664fba0
de,DE,control-systems,self-acting-controls,sa121t,sa121t,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sa121t-ti-sa121t-de.ashx?rev=ee609af461b8484abd260e7ceaeb9c0b
de,CH,control-systems,self-acting-controls,sa121t,sa121t,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sa121t-ti-sa121t-de.ashx?rev=ee609af461b8484abd260e7ceaeb9c0b
it,CH,control-systems,self-acting-controls,sa422,p380-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sa422-ti-p380-01-it.ashx?rev=88268909f3f94902b52acd1f82c59b17
it,IT,control-systems,self-acting-controls,sa422,p380-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sa422-ti-p380-01-it.ashx?rev=88268909f3f94902b52acd1f82c59b17
fr,FR,control-systems,self-acting-controls,sa422,p380-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sa422-ti-p380-01-fr.ashx?rev=56930ed002e84858a8ee4c1090c5f172
fr,CH,control-systems,self-acting-controls,sa422,p380-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sa422-ti-p380-01-fr.ashx?rev=56930ed002e84858a8ee4c1090c5f172
it,IT,control-systems,self-acting-controls,sb,p044-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sb-ti-p044-01-it.ashx?rev=8606ede6f912489fbc0018983ad48240
it,CH,control-systems,self-acting-controls,sb,p044-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sb-ti-p044-01-it.ashx?rev=8606ede6f912489fbc0018983ad48240
fr,FR,control-systems,self-acting-controls,sb-sbra,p044-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sb-sbra-ti-p044-01-fr.ashx?rev=22cd6115375e4884ba35d2cef03ace8a
fr,CH,control-systems,self-acting-controls,sb-sbra,p044-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sb-sbra-ti-p044-01-fr.ashx?rev=22cd6115375e4884ba35d2cef03ace8a
de,CH,steam-traps,sealed-steam-traps,sbp30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sbp30-ti-p120-01-de.ashx?rev=4892f4715f0c4b728e7504e8411ea582
it,CH,steam-traps,bimetallic-steam-traps,sbp30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sbp30-ti-p120-01-it.ashx?rev=c0c00153b4ae4cd4bb19914891b8cc32
de,CH,steam-traps,balanced-pressure-steam-traps,sbp30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sbp30-ti-p120-01-de.ashx?rev=4892f4715f0c4b728e7504e8411ea582
it,CH,steam-traps,sealed-steam-traps,sbp30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sbp30-ti-p120-01-it.ashx?rev=c0c00153b4ae4cd4bb19914891b8cc32
it,IT,steam-traps,sealed-steam-traps,sbp30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sbp30-ti-p120-01-it.ashx?rev=c0c00153b4ae4cd4bb19914891b8cc32
de,DE,steam-traps,balanced-pressure-steam-traps,sbp30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sbp30-ti-p120-01-de.ashx?rev=4892f4715f0c4b728e7504e8411ea582
it,IT,steam-traps,bimetallic-steam-traps,sbp30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sbp30-ti-p120-01-it.ashx?rev=c0c00153b4ae4cd4bb19914891b8cc32
fr,CH,steam-traps,balanced-pressure-steam-traps,sbp_30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sbp_30-ti-p120-01-fr.ashx?rev=7f6af760b5584109adede0529bd2e426
fr,FR,steam-traps,balanced-pressure-steam-traps,sbp_30,p120-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sbp_30-ti-p120-01-fr.ashx?rev=7f6af760b5584109adede0529bd2e426
de,CH,pipeline-ancillaries,separators,sbz5,sbz5,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sbz5-ti-sbz5-de.ashx?rev=c2be4f4e0a1e487faf6514d927cfcef4
de,DE,pipeline-ancillaries,separators,sbz5,sbz5,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sbz5-ti-sbz5-de.ashx?rev=c2be4f4e0a1e487faf6514d927cfcef4
de,CH,pipeline-ancillaries,separators,sbz6,sbz6,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sbz6-ti-sbz6-de.ashx?rev=3e363cb453d64fa7af212a2a15ffa371
de,DE,pipeline-ancillaries,separators,sbz6,sbz6,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sbz6-ti-sbz6-de.ashx?rev=3e363cb453d64fa7af212a2a15ffa371
fr,CH,boiler-controls-and-systems,sample-coolers,sc20,p403-09,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sc20-ti-p403-09-fr.ashx?rev=242a70652e48468c8459b2374f0bb687
it,IT,boiler-controls-and-systems,sample-coolers,sc20,p403-09,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sc20-ti-p403-09-it.ashx?rev=600e5bce2cc64f139f340cf3f73236fc
it,CH,boiler-controls-and-systems,sample-coolers,sc20,p403-09,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sc20-ti-p403-09-it.ashx?rev=600e5bce2cc64f139f340cf3f73236fc
fr,FR,boiler-controls-and-systems,sample-coolers,sc20,p403-09,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/sc20-ti-p403-09-fr.ashx?rev=242a70652e48468c8459b2374f0bb687
it,IT,steam-traps,inverted-bucket-steam-traps,sca,p077-05,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sca-ti-p077-05-it.ashx?rev=284c8d974f394a539e91fdcb6194980f
it,CH,steam-traps,inverted-bucket-steam-traps,sca,p077-05,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sca-ti-p077-05-it.ashx?rev=284c8d974f394a539e91fdcb6194980f
de,CH,boiler-controls-and-systems,sample-coolers,scs20,103705,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/scs20-ti-103705-de.ashx?rev=fd0012a1f0b5479f9111c06913970dd9
de,DE,boiler-controls-and-systems,sample-coolers,scs20,103705,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/scs20-ti-103705-de.ashx?rev=fd0012a1f0b5479f9111c06913970dd9
it,IT,boiler-controls-and-systems,steam-injectors,sd,p401-06,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/sd-ti-p401-06-it.ashx?rev=20465682ec8643d69fa830a10a161642
